ID;Kasutusotstarve;Kasutusotstarve_ID;Maakond;KOV;KOV_voi_LinnaOsa;Esmane_Kasutuselevotu_Aasta;Ajastu;;Hooneosade_Arv;Hooneosade_Arv_Normaliseeritud;Ruumide_Arv;Rummide_arv_vannitoata;Maksimaalne_Korruste_Arv
177;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1983;1981-1990;>1980;49;50;230;181;5
122;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kristiine linnaosa;1964;1961-1970;1950-1980;32;30;136;104;4
371;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kristiine linnaosa;1970;1961-1970;1950-1980;60;60;252;192;5
139;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Lasnamäe linnaosa;1900;...-1900;<1950;5;10;16;11;2
256;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1972;1971-1980;1950-1980;54;50;270;216;10
357;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Põhja-Tallinna linnaosa;1961;1961-1970;1950-1980;32;30;121;89;4
155;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kristiine linnaosa;1984;1981-1990;>1980;120;120;365;245;5
145;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kristiine linnaosa;1977;1971-1980;1950-1980;38;40;170;132;5
25;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kesklinna linnaosa;1959;1951-1960;1950-1980;32;30;120;88;4
235;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Nõmme linnaosa;1980;1971-1980;1950-1980;25;30;133;108;5
137;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Põhja-Tallinna linnaosa;1959;1951-1960;1950-1980;8;10;36;28;2
107;Muu kolme või enama korteriga elamu;12322;Harju maakond; Tallinn; Kristiine linnaosa;1968;1961-1970;1950-1980;16;20;70;54;3
102;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Nõmme linnaosa;1959;1951-1960;1950-1980;24;20;90;66;3
244;Muu kolme või enama korteriga elamu;12339;Harju maakond; Tallinn; Kesklinna linnaosa;1971;1971-1980;1950-1980;29;30;120;91;8
258;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kristiine linnaosa;1972;1971-1980;1950-1980;8;10;39;31;4
119;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Pärnu linn; Pärnu linn;1989;1981-1990;>1980;31;30;137;106;4
178;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Pärnu linn; Pärnu linn;1970;1961-1970;1950-1980;85;90;354;269;5
141;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Pärnu linn; Pärnu linn;1963;1961-1970;1950-1980;24;20;90;66;3
124;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Pärnu linn; Pärnu linn;1962;1961-1970;1950-1980;32;30;120;88;4
201;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Pärnu linn; Pärnu linn;1968;1961-1970;1950-1980;36;40;144;108;3
266;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Pärnu linn; Tõstamaa alevik;1972;1971-1980;1950-1980;18;20;87;69;3
269;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Pärnu linn; Pärnu linn;1970;1961-1970;1950-1980;85;90;356;271;5
351;Muu kolme või enama korteriga elamu;12311;Tartu maakond; Tartu linn; Tartu linn;1963;1961-1970;1950-1980;49;50;204;155;4
366;Muu kolme või enama korteriga elamu;12201;Tartu maakond; Tartu linn; Tartu linn;1963;1961-1970;1950-1980;31;30;127;96;4
38;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1977;1971-1980;1950-1980;24;20;101;77;3
301;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1960;1951-1960;1950-1980;32;30;120;88;4
166;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1977;1971-1980;1950-1980;85;90;355;270;5
372;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1969;1961-1970;1950-1980;18;20;72;54;3
307;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1970;1961-1970;1950-1980;60;60;265;205;5
332;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1973;1971-1980;1950-1980;110;110;468;358;5
267;Muu kolme või enama korteriga elamu;12646;Tartu maakond; Tartu linn; Tartu linn;1988;1981-1990;>1980;79;80;359;280;5
251;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1991;1991-2000;>1980;24;20;126;102;4
156;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1990;1981-1990;>1980;40;40;148;108;5
308;Ühiselamu üliõpilastele või õpilastele;11321;Tartu maakond; Tartu linn; Tartu linn;1976;1971-1980;1950-1980;53;50;195;142;5
12;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Ilmatsalu alevik;1972;1971-1980;1950-1980;18;20;87;69;3
15;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Ilmatsalu alevik;1974;1971-1980;1950-1980;18;20;87;69;3
